Name;Rarity;Gender;Faction;Class;HP;ATK;DEF;RES;DP Cost;Block;Event;EN_Release;Limited;Birthday
Sankta Miksaparato;6;Male;Laterano;Defender Sentry Protector;3677;504;703;0;25;3;The Masses' Travels;;;
Exusiai the New Convenant;6;Female;Penguin Logistics;Specialist Geek;2150;708;150;10;13;1;The Masses' Travels;;;
Lemuen;6;Female;Laterano;Sniper Deadeye;1448;1201;175;0;22;1;The Masses' Travels;;;
Gracebearer;5;Female;Bolivar;Guard Primal;2600;820;350;10;22;2;The Masses' Travels;;;
CONFESS-47;1;Unknown;Laterano;Vanguard Pioneer;770;192;154;0;3;2;The Masses' Travels;;;
Mon3tr;6;Female;Rhodes Island;Medic Chain;1735;528;221;0;18;1;Dissociative Recombination;9/16/2025;;July 25th
Alanna;5;Female;Rim Billiton;Supporter Artificer;2560;560;437;0;18;2;Dissociative Recombination;9/16/2025;;April 17th
Windscoot;4;Male;Yan;Guard Liberator;3355;290;486;15;10;3;Dissociative Recombination;9/16/2025;;November 5th
Necrass;6;Female;Tara;Caster Shaper;1924;633;133;20;21;1;When Elegies Are Ashes;8/28/2025;;October 16th
Brigid;5;Female;Tara;Sniper Loopshooter;2350;640;165;0;17;1;When Elegies Are Ashes;8/28/2025;;February 1st
Wulfenite;5;Female;Sargon;Specialist Trapmaster;1450;520;160;0;11;1;When Elegies Are Ashes;8/28/2025;;December 1st
Entelechia;6;Female;Rhodes Island;Guard Reaper;2580;700;452;0;23;2;See You Soon;08/07/2025;;December 31st
Nowell;5;Male;Victoria;Medic Therapist;1367;516;108;10;20;1;See You Soon;08/07/2025;;December 25th
Blaze the Igniting Spark;6;Female;Elite Op;Caster Primal;1608;662;131;15;21;1;Such is the Joy of Our Reunion;7/17/2025;;March 24th
Yu;6;Male;Sui;Defender Primal Protector;3333;685;577;10;26;3;Such is the Joy of Our Reunion;7/17/2025;Limited;December 12th
Xingzhu;5;Female;Yan;Supporter Abjurer;1746;423;181;25;13;1;Such is the Joy of Our Reunion;7/17/2025;;March 24th
Surfer;5;Female;Blacksteel;Vanguard Agent;1950;560;261;0;10;1;Such is the Joy of Our Reunion;7/17/2025;;May 3rd
Thorns the Lodestar;6;Male;Iberia;Specialist Alchemist;1173;501;106;30;18;1;Exodus from the Pale Sea;06/05/2025;;March 17th
Tecno;5;Female;Bolivar;Caster Shaper;1655;519;70;20;20;1;Exodus from the Pale Sea;06/05/2025;;August 30th
Rose Salt;5;Female;Iberia;Medic Multi-target;1675;330;151;0;19;1;Exodus from the Pale Sea;06/05/2025;;March 30th
Vulpisfoglia;6;Female;Siracusa;Vanguard Pioneer;2030;562;380;0;14;2;I Portatori dei Velluti;4/24/2025;;September 8th
Crownslayer;6;Female;Rhodes Island;Specialist Executor;1695;545;325;0;12;1;I Portatori dei Velluti;4/24/2025;;July 22nd
Lappland the Decadenza;6;Female;Siracusa;Caster Mech-Accord;1503;342;117;20;22;1;I Portatori dei Velluti;4/24/2025;Limited;November 11th
Figurino;5;Male;Siracusa;Specialist Merchant;2393;741;391;0;8;1;I Portatori dei Velluti;4/24/2025;;January 21st
Philae;5;Female;Sargon;Defender Primal Protector;3227;603;544;10;25;3;I Portatori dei Velluti;4/24/2025;;May 29th
Contrail;4;Female;Columbia;Specialist Skyranger;2255;692;393;0;16;2;I Portatori dei Velluti;4/24/2025;;March 16th
Vina Victoria;6;Female;Victoria;Guard Arts Fighter;2895;745;420;15;21;1;Ending a Grand Overture;04/08/2025;;July 10th
Bobbing;5;Male;Columbia;Supporter Ritualist;1305;446;68;15;15;1;Ending a Grand Overture;04/08/2025;;March 11th
Catherine;5;Female;Victoria;Supporter Artificer;2680;550;420;0;20;2;Ending a Grand Overture;04/08/2025;;August 28th
